상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
에스프레소, 1016,18,0.17,"62,650",0.08
에소 콘파냐, 1032,21,0.20,"81,510",0.10
아메리카노 I, 1033,"1,510",14.52,"6,017,230",7.60
아메리카노 H, 1123,590,5.68,"2,356,600",2.98
꿀아메리카노 I, 1124,25,0.24,"112,050",0.14
카페라떼 H, 1133,159,1.53,"758,040",0.96
카페라떼 I, 1134,157,1.51,"751,440",0.95
퐁실 카푸치노 H, 1135,19,0.18,"91,200",0.12
퐁실 카푸치노 I, 1136,3,0.03,"14,400",0.02
꿀아메리카노 H, 1137,6,0.06,"26,550",0.03
헤이즐넛 아메 H, 1149,8,0.08,"36,000",0.05
헤이즐넛 아메 I, 1159,42,0.40,"188,330",0.24
돌체라떼 H, 1197,16,0.15,"86,600",0.11
돌체라떼 I, 1199,30,0.29,"161,230",0.20
아가베라떼 H, 1200,6,0.06,"30,800",0.04
아가베라떼 I, 1201,9,0.09,"48,700",0.06
바닐라빈라떼 H, 1202,16,0.15,"85,800",0.11
바닐라빈라떼 I, 1203,90,0.87,"487,660",0.62
캐러멜마끼아또 H, 1204,3,0.03,"16,300",0.02
캐러멜마끼아또 I, 1205,17,0.16,"91,900",0.12
디카페인 변경, 1209,282,2.71,"140,850",0.18
샷추가, 1246,21,0.20,"10,470",0.01
카페모카H, 1277,2,0.02,"10,600",0.01
카페모카I, 1278,10,0.10,"54,400",0.07
연하게, 1283,108,1.04,0,0.00
샤케라또I, 1302,27,0.26,"129,600",0.16
패션후르츠 콘파냐, 1444,28,0.27,"111,600",0.14
우유, 1477,1,0.01,"3,000",0.00
말차 숲라떼 H, 1105,30,0.29,"150,000",0.19
말차 숲라떼 I, 1106,103,0.99,"513,750",0.65
수제초코라떼 H, 1121,14,0.13,"74,200",0.09
수제초코라떼 I, 1139,55,0.53,"289,920",0.37
딸기라떼 I, 1141,71,0.68,"370,170",0.47
로얄밀크티 H, 1142,19,0.18,"96,170",0.12
로얄밀크티 I, 1143,44,0.42,"232,960",0.29
꼬구마라떼 H, 1154,33,0.32,"174,110",0.22
꼬구마라떼 I, 1155,13,0.13,"68,900",0.09
바닐라말차샷 I, 1244,19,0.18,"95,905",0.12
호두율무라떼, 1267,20,0.19,"106,000",0.13
인절미말차라떼, 1372,78,0.75,"414,800",0.52
슈크림말차라떼 I, 1396,3,0.03,"17,100",0.02
초코크림딸기라떼, 1410,43,0.41,"227,105",0.29
오미자라떼, 1463,3,0.03,"18,000",0.02
자몽 에이드, 1035,50,0.48,"265,000",0.33
패션후르츠 에이드, 1036,58,0.56,"307,400",0.39
레몬 에이드, 1057,74,0.71,"391,670",0.49
바질토마토 에이드, 1132,124,1.19,"693,280",0.88
청귤에이드, 1375,11,0.11,"58,300",0.07
얼그레이유자 에이드, 1383,41,0.39,"224,950",0.28
오미자 에이드, 1464,12,0.12,"67,200",0.08
자몽티 H, 1067,34,0.33,"163,200",0.21
자몽티 I, 1103,12,0.12,"57,600",0.07
레몬티 I, 1104,23,0.22,"110,400",0.14
레몬티 H, 1216,57,0.55,"273,600",0.35
캐모마일 H, 1219,92,0.88,"363,200",0.46
캐모마일 릴렉서 I, 1220,1,0.01,"5,220",0.01
애플유자티 H, 1221,29,0.28,"144,250",0.18
애플유자티 I, 1222,69,0.66,"338,500",0.43
아이스티 I, 1223,329,3.16,"1,311,800",1.66
캐모마일 I, 1224,17,0.16,"68,000",0.09
허니자몽블랙티 I, 1227,33,0.32,"180,400",0.23
허니자몽블랙티 H, 1228,14,0.13,"77,000",0.10
모과차, 1270,2,0.02,"9,600",0.01
메리골드차H, 1306,7,0.07,"35,000",0.04
국화차H, 1307,1,0.01,"5,000",0.01
레몬생강차, 1319,71,0.68,"340,800",0.43
청귤티I, 1373,4,0.04,"19,200",0.02
청귤티H, 1374,5,0.05,"24,000",0.03
꿀생강차H, 1391,57,0.55,"245,100",0.31
구절초차H, 1413,2,0.02,"10,000",0.01
목련꽃차H, 1420,1,0.01,"5,000",0.01
허니딸기블랙티 I, 1424,46,0.44,"253,000",0.32
얼그레이티 H, 1428,38,0.37,"152,000",0.19
유자차, 1434,3,0.03,"14,400",0.02
히비스커스 H, 1438,20,0.19,"80,000",0.10
루이보스 H, 1439,13,0.13,"52,000",0.07
블루코코넛 망고, 1462,6,0.06,"31,200",0.04
오미자 티, 1465,6,0.06,"31,800",0.04
그릭요거트-그래놀라, 1037,35,0.34,"192,500",0.24
요거트-딸기, 1038,51,0.49,"278,850",0.35
요거트-블루베리, 1039,48,0.46,"263,170",0.33
냉귀리쉐이크, 1257,22,0.21,"98,550",0.12
