상품주문번호,주문번호,구매확정일,판매채널,구매자ID,발송처리일,배송완료일,상품명,옵션정보,수량,상품가격,최종 상품별 할인액,최종 상품별 총 주문금액,결제일,결제수단,결제위치,주문 유입경로
2025071579525521,2025071533517771,2025.07.25 00:52,스마트스토어,aj*****,2025.07.15 21:03,2025.07.17 16:03,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,2,"\12,500","\4,000","\21,000",2025.07.15 01:39,머니결제,MOBILE,네이버쇼핑 외
2025071579525511,2025071533517771,2025.07.25 00:52,스마트스토어,aj*****,2025.07.15 21:03,2025.07.17 16:03,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,2,"\12,500","\4,000","\21,000",2025.07.15 01:39,머니결제,MOBILE,네이버쇼핑 외
2025071313473851,2025071379295051,2025.07.22 14:18,스마트스토어,kk********,2025.07.14 10:12,2025.07.16 16:13,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,1,"\12,500","\3,000","\9,500",2025.07.13 10:52,포인트결제,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025070513475501,2025070576796931,2025.07.17 00:54,스마트스토어,as******,2025.07.07 11:07,2025.07.09 16:14,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,1,"\12,500","\2,500","\10,000",2025.07.05 17:48,신용카드 간편결제,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025070790351781,2025070738666791,2025.07.13 15:17,스마트스토어,aj*****,2025.07.08 02:01,2025.07.09 13:02,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,2,"\12,500","\4,000","\21,000",2025.07.07 20:06,머니결제,MOBILE,네이버쇼핑 외
2025070790351771,2025070738666791,2025.07.13 15:17,스마트스토어,aj*****,2025.07.08 02:01,2025.07.09 13:02,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,2,"\12,500","\4,000","\21,000",2025.07.07 20:06,머니결제,MOBILE,네이버쇼핑 외
2025070310099321,2025070313097391,2025.07.07 18:10,스마트스토어,jo*******,2025.07.03 23:02,2025.07.05 13:06,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,1,"\12,500","\1,600","\10,900",2025.07.03 00:18,무통장입금,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025070323056821,2025070321696401,2025.07.05 15:59,스마트스토어,fr******,2025.07.03 23:03,2025.07.05 14:09,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,1,"\12,500","\1,600","\10,900",2025.07.03 11:22,머니결제,MOBILE,네이버플러스스토어검색>상품카드
2025070289971561,2025070296192341,2025.07.05 14:07,스마트스토어,hu*********,2025.07.03 12:04,2025.07.05 13:03,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,1,"\12,500","\1,600","\10,900",2025.07.02 19:33,신용카드 간편결제,MOBILE,네이버쇼핑 외
2025070289971551,2025070296192341,2025.07.05 14:07,스마트스토어,hu*********,2025.07.03 12:04,2025.07.05 13:03,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,1,"\12,500","\1,100","\11,400",2025.07.02 19:33,신용카드 간편결제,MOBILE,네이버쇼핑 외
