timestamp,q1_awareness_rangdosha,q2_satisfaction_pistachio,q2_1_reason_pistachio,q3_satisfaction_darkhazelnut,q3_1_reason_darkhazelnut,q4_expression_rangdosha,q5_opinion_date_topping,q6_opinion_local_story,q7_satisfaction_package,q7_1_reason_package,q8_price_opinion,q9_price_expectation,q10_purchase_intent,q11_improvement_priority,q12_interest_supporters,q13_gender,q14_additional_comment
2025/04/30 1:50:20 오후 GMT+9,"네, 알고 있습니다.",5,초콜릿에 비해 너무 느끼하지 않고 깔끔하다,3,조금 느끼하고 다른 재료들이랑 맛이 크게 시너지를 내는 것 같지 않다,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추 토핑 맛이 느껴지지 않았다,큰 매력을 느끼지 못했다,4,디자인이 예쁘지만 이게 쿠키 패키징인지 그리고 어떤 맛인지 즉 제품 정보에 대한 내용이 크케 드러난 것이 없어서 소비자 입장에서는 정보 부족으로 당황 할수 있을 것 같다,2,잘 모르겠다 근데 개당 1000원 이하면 매력적으로 다가올것 같다,구매 의사가 없다,마케팅 및 홍보,없다,남,청도 키워드가 크게 다가오지 않는다
2025/04/30 2:00:15 오후 GMT+9,"아니요, 처음 들어봅니다.",3,,4,,트렌디하고 인스타그램에 잘 어울리는 디저트;청도 지역 특산물의 맛을 살린 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,4,,3,,선물용으로 고려 중이다,식감,없다,남,
2025/04/30 2:00:18 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,3,10000원..?,선물용으로 고려 중이다,제품 종류,있다,남,
2025/04/30 2:00:33 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,4,,선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,3,,구매 의사가 없다,마케팅 및 홍보,없다,여,
2025/04/30 2:00:52 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,4,,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,대추 토핑 맛이 느껴지지 않았다,큰 매력을 느끼지 못했다,4,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,맛,있다,남,
2025/04/30 2:00:53 오후 GMT+9,"네, 알고 있습니다.",4,,4,,간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,3,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,포장,있다,여,
2025/04/30 2:01:20 오후 GMT+9,"아니요, 처음 들어봅니다.",3,,5,다크초콜릿이 더 맛있더라구요,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,특별하긴 했으나 조금 낯설었다,청도가 대추가 유명한지 몰랐음,4,,5,,맛있긴 했지만 조금 더 고민해볼 것 같다,마케팅 및 홍보,없다,남,
2025/04/30 2:01:34 오후 GMT+9,"네, 알고 있습니다.",4,,4,,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,1,,맛있긴 했지만 조금 더 고민해볼 것 같다,맛,없다,여,
2025/04/30 2:01:50 오후 GMT+9,"네, 알고 있습니다.",5,"적당히 달고, 빵에도 피스타치오 알이 박혀있어서",5,초코가 맘ㅎ아소,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,,2,8000원,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,없다,여,
2025/04/30 2:02:05 오후 GMT+9,"네, 알고 있습니다.",5,일단 말린 대추와 조합이 매우 좋았다!,5,초코가 대추 맛을 삼킨다,트렌디하고 인스타그램에 잘 어울리는 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,4,,맛있긴 했지만 조금 더 고민해볼 것 같다,식감,고민중이다,여,개인적으로 베이킹을 전문적으로 공부하면 좋을 것 같다. 지난 학기에 비해서 많이 맛은 있지만 베이킹의 중요한 요소가 예쁨 즉 심미적으로 예뻐야 하는데 쿠키의 공기층이 너무 잘 보여서 전문성이 낮아보인다. 이 부분 때문에 사는것에 고민이 든다 결국 선물이 메인 타겟인데 예쁘지 않으먄 사람들이 주춤해서 선물 안 할 것 같다
