timestamp,q1_awareness_rangdosha,q2_satisfaction_pistachio,q2_1_reason_pistachio,q3_satisfaction_darkhazelnut,q3_1_reason_darkhazelnut,q4_preferred_flavor,q5_expression_rangdosha,q6_opinion_date_topping,q7_opinion_local_story,q8_satisfaction_package,q9_opinion_leaflet,q10_package_identification,q10_1_reason_package_identification,q11_price_opinion,q11_1_price_expectation,q12_purchase_intent,q13_gender,q14_age_group,q15_additional_comment
2025/05/14 1:40:28 오후 GMT+9,"네, 알고 있습니다.",5,,4,,피스타치오,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,4,설명이 부족하다;심미적으로 좋다,3,,1,9000,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/14 1:41:51 오후 GMT+9,"네, 알고 있습니다.",5,,4,대추 맛이 많이 나지는 않았지만 맛있었다,다크 헤이즐넛,전통과 현대가 조화된 창의적인 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",2,포함되어 있는 방식이 불편하다,2,,5,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 1:42:06 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,4,,다크 헤이즐넛,선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,예상치 못했다,3,,4,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 1:45:10 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,간편하게 즐길 수 있는 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,2,,1,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 1:50:28 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,적당히 달고 바삭바삭한 식감이 너무 좋움,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,3,,5,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 1:51:57 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,4,,바로 구매하고 싶다,남,20~30대,
2025/05/14 1:58:15 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,4,,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,제품을 이해하는데 도움이 된다;심미적으로 좋다,3,,2,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 1:58:25 오후 GMT+9,"네, 알고 있습니다.",4,,4,,다크 헤이즐넛,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,심미적으로 좋다,2,,2,9900,선물용으로 고려 중이다,여,20~30대,
2025/05/14 1:59:38 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,,간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,5,,4,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 2:06:07 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,4,대추가 좀 쌉쌀한 맛때문에 단거를 좋아하는 사람은 조금 호불호있을 수 있을것같아요!,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다;심미적으로 좋다,5,,2,10000원,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 2:06:13 오후 GMT+9,"네, 알고 있습니다.",5,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,예상치 못했다;심미적으로 좋다,5,,3,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 2:06:21 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,식감이 너무 부드럽고 적당히 달콤함,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추 토핑 맛이 느껴지지 않았다,지역 특산물을 현대적으로 잘 살린 것 같다,4,제품을 이해하는데 도움이 된다,5,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 2:06:40 오후 GMT+9,"아니요, 처음 들어봅니다.",4,부드러워요,5,맛나용,피스타치오,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다;심미적으로 좋다,3,별로 티가 안 나요,3,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 2:10:53 오후 GMT+9,"아니요, 처음 들어봅니다.",5,엄청 고소하고 맛있어요!,5,완전 맛있어요!!,피스타치오,전통과 현대가 조화된 창의적인 디저트;간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,5,,4,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 2:10:58 오후 GMT+9,"네, 알고 있습니다.",3,,4,받을 때부터 조금 부셔져있는 부분이 아쉬웠습니다,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추 토핑 맛이 느껴지지 않았다,지역 특산물을 현대적으로 잘 살린 것 같다,3,제품을 이해하는데 도움이 된다,3,,1,,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/14 2:11:44 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,청도 지역 특산물의 맛을 살린 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,3,,바로 구매하고 싶다,남,20~30대,
2025/05/14 2:12:08 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;예상치 못했다;심미적으로 좋다,4,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,남,10대,
2025/05/14 2:13:05 오후 GMT+9,"네, 알고 있습니다.",5,,3,,피스타치오,간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,예상치 못했다,4,,4,,선물용으로 고려 중이다,남,20~30대,
2025/05/14 2:13:37 오후 GMT+9,"아니요, 처음 들어봅니다.",4,맛있은,4,맛있은,다크 헤이즐넛,선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,맜랐음,5,5개,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,아나요
2025/05/14 2:19:21 오후 GMT+9,"네, 알고 있습니다.",5,,5,,다크 헤이즐넛,전통과 현대가 조화된 창의적인 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 2:21:14 오후 GMT+9,"아니요, 처음 들어봅니다.",3,,4,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;간편하게 즐길 수 있는 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,설명이 부족하다,2,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 2:30:22 오후 GMT+9,"아니요, 처음 들어봅니다.",5,좋아해서,5,맛있다,피스타치오,간편하게 즐길 수 있는 디저트,대추와 랑그드샤가 조화롭지 못하다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",3,제품을 이해하는데 도움이 된다,3,크,2,6000,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,없음
2025/05/14 2:49:17 오후 GMT+9,"네, 알고 있습니다.",5,,5,달콤하고 맛있다,다크 헤이즐넛,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,5,잘 표현했다.,1,8000원,선물용으로 고려 중이다,남,20~30대,감사합니다!
2025/05/14 2:54:37 오후 GMT+9,"네, 알고 있습니다.",5,,3,,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,설명 용지 재질이 적절하지 않는 것 같다;예상치 못했다;심미적으로 좋다,3,,3,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 3:01:20 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,3,,피스타치오,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,3,,2,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 3:06:03 오후 GMT+9,"네, 알고 있습니다.",5,너무 맛있어용,,,,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;심미적으로 좋다,4,,3,9999원,선물용으로 고려 중이다,여,20~30대,
2025/05/14 3:12:36 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,4,,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,심미적으로 좋다,2,,1,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 3:13:26 오후 GMT+9,"네, 알고 있습니다.",5,,5,,피스타치오,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;예상치 못했다,3,,5,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 3:22:26 오후 GMT+9,"아니요, 처음 들어봅니다.",,,4,너무 안달고 적당했다,,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,심미적으로 좋다,3,,4,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 3:32:19 오후 GMT+9,"네, 알고 있습니다.",,,5,맛있어요,다크 헤이즐넛,청도 지역 특산물의 맛을 살린 디저트,대추 토핑 맛이 느껴지지 않았다,지역 특산물을 현대적으로 잘 살린 것 같다,4,제품을 이해하는데 도움이 된다,4,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/14 3:33:24 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,전통과 현대가 조화된 창의적인 디저트;간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;설명 용지 재질이 적절하지 않는 것 같다;포함되어 있는 방식이 불편하다,1,,2,,선물용으로 고려 중이다,남,20~30대,
2025/05/14 3:36:39 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,,트렌디하고 인스타그램에 잘 어울리는 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다;심미적으로 좋다,5,,4,,선물용으로 고려 중이다,남,20~30대,
2025/05/14 3:37:23 오후 GMT+9,"아니요, 처음 들어봅니다.",,,4,적당한 달기와 알맞는 식감,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",3,포함되어 있는 방식이 불편하다,4,,4,,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/14 3:40:15 오후 GMT+9,"아니요, 처음 들어봅니다.",5,오묘한 맛입니다 ㅎㅎ,,,피스타치오,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,글씨가 작아서 가독성이 떨어지는 것 같습니다.,2,큰 쪽에서 보이면 더 좋을 것 같다.,2,10개에 만원,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/14 3:44:36 오후 GMT+9,"아니요, 처음 들어봅니다.",5,맛잇당,5,맛잇당,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다;심미적으로 좋다,5,,4,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 3:56:16 오후 GMT+9,"네, 알고 있습니다.",,맛있더라구요,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,4,,바로 구매하고 싶다,남,20~30대,
2025/05/14 4:24:30 오후 GMT+9,"아니요, 처음 들어봅니다.",4,원래 좋아합니다,5,초코는 진리,다크 헤이즐넛,간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다;예상치 못했다;심미적으로 좋다,5,,2,,ㅐ,남,20~30대,
2025/05/14 4:25:05 오후 GMT+9,"아니요, 처음 들어봅니다.",,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,심미적으로 좋다,2,,4,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 4:51:42 오후 GMT+9,"네, 알고 있습니다.",5,,5,,피스타치오,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,3,제품을 이해하는데 도움이 된다,4,,2,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 5:08:56 오후 GMT+9,"네, 알고 있습니다.",5,,,,피스타치오,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,4,심미적으로 좋다,2,,3,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 5:11:59 오후 GMT+9,"네, 알고 있습니다.",5,,5,,피스타치오,간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,5,,3,적절,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/14 5:14:48 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,3,,선물용으로 고려 중이다,여,20~30대,
2025/05/14 5:15:56 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;전통과 현대가 조화된 창의적인 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,4,,5,,바로 구매하고 싶다,여,20~30대,
